scenario,year,license_musd,maintenance_musd,subscription_musd,services_musd,total_rev_musd,arr_musd,gross_profit_musd,blended_gm_pct,yoy_rev_growth_pct,is_trough_year
A_1.25x,0,90.0,180.0,120.0,80.0,470.0,300.0,345.5,73.5,,False
A_1.25x,1,59.4,115.2,198.8,80.0,453.4,313.9,309.3,68.2,-3.5,False
A_1.25x,2,29.7,68.4,255.0,80.0,433.1,323.4,275.5,63.6,-4.5,False
A_1.25x,3,0.0,30.6,300.0,80.0,410.6,330.6,242.5,59.1,-5.2,True
A_1.25x,4,0.0,16.2,318.0,80.0,414.2,334.2,241.3,58.3,0.9,False
A_1.25x,5,0.0,7.2,327.0,80.0,414.2,334.2,239.0,57.7,0.0,False
B_1.50x,0,90.0,180.0,120.0,80.0,470.0,300.0,345.5,73.5,,False
B_1.50x,1,59.4,131.4,187.5,80.0,458.3,318.9,316.6,69.1,-2.5,False
B_1.50x,2,29.7,88.2,249.6,80.0,447.5,337.8,289.8,64.8,-2.4,False
B_1.50x,3,0.0,50.4,303.6,80.0,434.0,354.0,262.7,60.5,-3.0,True
B_1.50x,4,0.0,32.4,327.9,80.0,440.3,360.3,262.3,59.6,1.5,False
B_1.50x,5,0.0,23.4,341.4,80.0,444.8,364.8,263.0,59.1,1.0,False
C_2.00x,0,90.0,180.0,120.0,80.0,470.0,300.0,345.5,73.5,,False
C_2.00x,1,59.4,147.6,174.0,80.0,461.0,321.6,322.4,69.9,-1.9,False
C_2.00x,2,29.7,111.6,235.2,80.0,456.5,346.8,301.5,66.1,-1.0,False
C_2.00x,3,0.0,75.6,300.0,80.0,455.6,375.6,283.0,62.1,-0.2,True
C_2.00x,4,0.0,54.0,336.0,80.0,470.0,390.0,287.0,61.1,3.2,False
C_2.00x,5,0.0,41.4,357.6,80.0,479.0,399.0,289.7,60.5,1.9,False
